Gene_ID,Gene_Name,Nutrient,Impact_on_Gene,Interaction_Type,Expression_Level,Daily_Intake_mg,Risk_Score,Population
GENE2824,TCF7L2,Zinc,Upregulation,Enhances,Variable,82.81,3.03,Asian
GENE1409,SOD2,Selenium,No effect,Enhances,High,23.04,0.55,Asian
GENE5506,APOA1,Zinc,Downregulation,Neutral,Moderate,69.91,9.97,African American
GENE5012,GPX1,Folate,Upregulation,Enhances,High,77.74,6.47,African American
GENE4657,TCF7L2,Selenium,Downregulation,Enhances,Variable,19.64,3.65,General
GENE3286,MTHFR,Vitamin D,Upregulation,Neutral,High,31.9,8.53,General
GENE2679,APOA1,Folate,Downregulation,Enhances,Moderate,43.93,3.4,Asian
GENE9935,TCF7L2,Folate,Downregulation,Neutral,Variable,35.59,8.41,General
GENE2424,TCF7L2,Vitamin D,Downregulation,Enhances,Variable,14.14,7.6,Asian
GENE7912,SOD2,Selenium,Downregulation,Reduces,High,67.59,2.9,Asian
GENE1520,MTHFR,Zinc,Downregulation,Neutral,Variable,9.16,2.03,African American
GENE1488,MTHFR,Folate,No effect,Reduces,High,94.09,5.54,Asian
GENE2535,MTHFR,Vitamin D,No effect,Neutral,High,21.97,9.68,General
GENE4582,GPX1,Zinc,Upregulation,Enhances,Variable,7.97,6.61,Asian
GENE4811,TCF7L2,Selenium,No effect,Neutral,Variable,15.17,2.99,General
GENE9279,GPX1,Folate,Downregulation,Enhances,High,23.2,3.9,Asian
GENE1434,GPX1,Zinc,Downregulation,Reduces,Variable,8.02,1.07,Caucasian
GENE4257,TCF7L2,Zinc,No effect,Enhances,Variable,65.97,6.89,African American
GENE9928,MTHFR,Omega-3,Upregulation,Neutral,Moderate,41.92,4.87,African American
GENE7873,TCF7L2,Vitamin D,Upregulation,Enhances,Variable,51.54,8.85,Asian
GENE4611,SOD2,Zinc,Upregulation,Neutral,High,64.28,4.38,General
GENE8359,TCF7L2,Selenium,No effect,Enhances,High,61.08,1.89,Asian
GENE5557,TCF7L2,Omega-3,Downregulation,Enhances,Variable,9.66,0.36,African American
GENE1106,APOA1,Zinc,Upregulation,Reduces,Moderate,25.97,0.25,General
GENE3615,SOD2,Zinc,Upregulation,Neutral,Variable,73.2,9.96,Caucasian
GENE7924,APOA1,Selenium,Upregulation,Reduces,Variable,6.24,2.38,Caucasian
GENE6574,MTHFR,Omega-3,Downregulation,Neutral,Moderate,92.5,3.89,General
GENE5552,MTHFR,Omega-3,Downregulation,Neutral,Variable,67.3,7.93,Asian
GENE3547,SOD2,Vitamin D,Upregulation,Neutral,High,93.2,6.43,African American
GENE4527,GPX1,Zinc,Downregulation,Reduces,Moderate,84.05,5.0,General
GENE6514,TCF7L2,Vitamin D,Upregulation,Reduces,Moderate,49.47,9.65,Asian
GENE2674,APOA1,Omega-3,No effect,Reduces,High,65.7,8.12,General
GENE2519,SOD2,Vitamin D,Upregulation,Reduces,Variable,39.29,9.67,General
GENE7224,APOA1,Selenium,No effect,Reduces,Variable,75.63,0.16,African American
GENE2584,TCF7L2,Folate,Downregulation,Reduces,Moderate,89.59,3.39,Caucasian
GENE6881,GPX1,Selenium,Upregulation,Enhances,High,83.09,3.38,Caucasian
